,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,listingStatus,zpid,bathrooms,livingArea,lotAreaUnit
0,SINGLE_FAMILY,0.25,27587,675000,4.0,-78.501,35.962727,RECENTLY_SOLD,119341237,4.0,2849.0,acres
1,SINGLE_FAMILY,9147.6,27587,625000,4.0,-78.48701,35.94148,RECENTLY_SOLD,120874437,4.0,2741.0,sqft
2,SINGLE_FAMILY,6098.0,27502,2300,3.0,-78.85261,35.725338,RECENTLY_SOLD,122067190,2.5,1819.0,sqft
3,SINGLE_FAMILY,10018.8,27613,785000,4.0,-78.71117,35.866283,RECENTLY_SOLD,122142882,4.0,3373.0,sqft
4,SINGLE_FAMILY,8712.0,27540,805109,4.0,-78.776024,35.655872,RECENTLY_SOLD,122276797,3.0,2861.0,sqft
5,SINGLE_FAMILY,3484.8,27502,615000,4.0,-78.84033,35.732754,RECENTLY_SOLD,122280086,3.0,2405.0,sqft
6,TOWNHOUSE,2178.0,27606,395000,4.0,-78.73339,35.74627,RECENTLY_SOLD,125167277,3.0,2337.0,sqft
7,LOT,8712.0,27526,80850,,-78.77915,35.606064,RECENTLY_SOLD,131712219,,,sqft
8,CONDO,0.0,27603,248800,3.0,-78.68429,35.750446,RECENTLY_SOLD,132183632,2.0,1192.0,sqft
9,CONDO,0.0,27607,270000,3.0,-78.69288,35.813587,RECENTLY_SOLD,132191228,2.0,990.0,sqft
10,CONDO,0.0,27605,400000,2.0,-78.65266,35.79426,RECENTLY_SOLD,132219736,2.0,1082.0,sqft
11,CONDO,0.0,27603,300000,1.0,-78.64522,35.785202,RECENTLY_SOLD,132221325,1.0,734.0,sqft
12,CONDO,0.0,27615,170000,2.0,-78.64548,35.875004,RECENTLY_SOLD,132231147,2.0,1008.0,sqft
13,SINGLE_FAMILY,0.32,27616,523500,4.0,-78.497345,35.850533,RECENTLY_SOLD,132301128,3.0,3223.0,acres
14,SINGLE_FAMILY,0.27,27571,500000,5.0,-78.462395,35.929672,RECENTLY_SOLD,132314013,3.0,2501.0,acres
15,SINGLE_FAMILY,8276.4,27587,444000,3.0,-78.50221,35.999336,RECENTLY_SOLD,132335256,2.0,1656.0,sqft
16,LOT,8712.0,27526,80850,,-78.779785,35.60592,RECENTLY_SOLD,132344759,,,sqft
17,LOT,8712.0,27526,80850,,-78.77947,35.60599,RECENTLY_SOLD,132344761,,,sqft
18,SINGLE_FAMILY,0.8,27603,830000,4.0,-78.69663,35.643284,RECENTLY_SOLD,132346825,4.0,3540.0,acres
19,SINGLE_FAMILY,1.15,27597,440000,3.0,-78.33526,35.79413,RECENTLY_SOLD,133226317,3.0,3427.0,acres
20,SINGLE_FAMILY,0.699,27597,545000,3.0,,,RECENTLY_SOLD,2062924045,3.0,2496.0,acres
21,TOWNHOUSE,,27502,2395,4.0,-78.92465,35.735104,RECENTLY_SOLD,2062985968,3.5,2145.0,
22,SINGLE_FAMILY,6403.32,27610,545850,3.0,,,RECENTLY_SOLD,2063063038,3.0,2082.0,sqft
23,SINGLE_FAMILY,3484.8,27591,415000,3.0,,,RECENTLY_SOLD,2063269516,3.0,1718.0,sqft
24,SINGLE_FAMILY,6098.4,27616,619990,4.0,,,RECENTLY_SOLD,2064172868,3.0,2730.0,sqft
25,TOWNHOUSE,1306.8,27545,408561,3.0,,,RECENTLY_SOLD,2065558988,4.0,2354.0,sqft
26,SINGLE_FAMILY,9147.6,27529,655000,4.0,,,RECENTLY_SOLD,2065797946,4.0,3358.0,sqft
27,SINGLE_FAMILY,8276.4,27616,652932,4.0,,,RECENTLY_SOLD,2066797428,3.0,2426.0,sqft
28,SINGLE_FAMILY,8276.4,27540,628413,4.0,,,RECENTLY_SOLD,2067805081,4.0,3257.0,sqft
29,SINGLE_FAMILY,8712.0,27519,953990,6.0,,,RECENTLY_SOLD,2068498386,6.0,3968.0,sqft
30,TOWNHOUSE,2526.48,27560,508680,3.0,,,RECENTLY_SOLD,2068578521,3.0,1835.0,sqft
31,SINGLE_FAMILY,9321.84,27587,627364,3.0,,,RECENTLY_SOLD,2068747428,3.0,2622.0,sqft
32,CONDO,0.0,27604,340000,2.0,-78.612854,35.818844,RECENTLY_SOLD,215487403,3.0,1260.0,sqft
33,SINGLE_FAMILY,8624.88,27540,660000,4.0,-78.87134,35.659725,RECENTLY_SOLD,215487651,3.0,2698.0,sqft
34,SINGLE_FAMILY,0.3,27529,530000,5.0,-78.62574,35.65156,RECENTLY_SOLD,215490907,4.0,2989.0,acres
35,TOWNHOUSE,1742.4,27610,322500,3.0,-78.55558,35.76063,RECENTLY_SOLD,215491537,3.0,1645.0,sqft
36,SINGLE_FAMILY,0.41,27571,830000,4.0,-78.46973,35.92912,RECENTLY_SOLD,215492192,5.0,2862.0,acres
37,SINGLE_FAMILY,5662.8,27587,570000,4.0,-78.51207,35.956295,RECENTLY_SOLD,215492914,4.0,2885.0,sqft
38,TOWNHOUSE,1742.4,27587,350000,3.0,-78.48818,35.97954,RECENTLY_SOLD,215493452,3.0,1656.0,sqft
39,TOWNHOUSE,2613.6,27502,528000,4.0,-78.88546,35.74184,RECENTLY_SOLD,246654745,4.0,2478.0,sqft
0,SINGLE_FAMILY,0.52,27603,246000,2.0,-78.65618,35.709034,RECENTLY_SOLD,6437388,1.0,950.0,acres
1,SINGLE_FAMILY,0.76,27616,475000,3.0,-78.55648,35.858665,RECENTLY_SOLD,6439443,3.0,2079.0,acres
2,SINGLE_FAMILY,0.96,27606,590600,4.0,-78.75055,35.725548,RECENTLY_SOLD,6456958,3.0,2434.0,acres
3,LOT,0.82,27539,77000,,-78.78687,35.667484,RECENTLY_SOLD,6457647,,,acres
4,SINGLE_FAMILY,1.14,27615,825000,4.0,-78.64634,35.902496,RECENTLY_SOLD,6470707,3.0,3619.0,acres
5,SINGLE_FAMILY,1.3,27614,681000,5.0,-78.6522,35.931522,RECENTLY_SOLD,6474007,5.0,2172.0,acres
6,SINGLE_FAMILY,0.31,27610,360000,4.0,-78.60598,35.740902,RECENTLY_SOLD,6480259,3.0,2084.0,acres
7,SINGLE_FAMILY,9583.2,27513,350000,3.0,-78.77287,35.798462,RECENTLY_SOLD,6481893,3.0,1467.0,sqft
8,SINGLE_FAMILY,0.84,27615,745000,4.0,-78.67146,35.89107,RECENTLY_SOLD,6483229,3.0,2611.0,acres
9,CONDO,1742.4,27604,262000,2.0,-78.582886,35.842186,RECENTLY_SOLD,6487490,2.0,1065.0,sqft
10,TOWNHOUSE,2613.6,27615,305000,2.0,-78.64771,35.872932,RECENTLY_SOLD,6489983,2.0,1153.0,sqft
11,SINGLE_FAMILY,6534.0,27511,430000,3.0,-78.80102,35.76664,RECENTLY_SOLD,6497766,3.0,1458.0,sqft
12,TOWNHOUSE,2613.6,27615,310000,2.0,-78.64615,35.873455,RECENTLY_SOLD,6498988,2.0,1167.0,sqft
13,TOWNHOUSE,1742.4,27502,365000,3.0,-78.831764,35.73865,RECENTLY_SOLD,6505072,3.0,1615.0,sqft
14,SINGLE_FAMILY,10454.4,27539,355000,3.0,-78.73542,35.642754,RECENTLY_SOLD,6506800,2.0,1220.0,sqft
15,SINGLE_FAMILY,8712.0,27513,593000,3.0,-78.82679,35.77276,RECENTLY_SOLD,6513073,3.0,2319.0,sqft
16,SINGLE_FAMILY,1.89,27587,725000,4.0,-78.56259,35.977215,RECENTLY_SOLD,6514454,5.0,3528.0,acres
17,SINGLE_FAMILY,7840.8,27613,425000,3.0,-78.746056,35.93021,RECENTLY_SOLD,6520595,3.0,1573.0,sqft
18,SINGLE_FAMILY,0.56,27615,1010000,5.0,-78.63151,35.898766,RECENTLY_SOLD,6525457,5.0,4511.0,acres
19,SINGLE_FAMILY,0.33,27540,775000,4.0,-78.78553,35.658554,RECENTLY_SOLD,65335878,4.0,3060.0,acres
20,SINGLE_FAMILY,0.88,27526,599900,3.0,-78.8305,35.604584,RECENTLY_SOLD,65338867,3.0,2217.0,acres
21,SINGLE_FAMILY,0.54,27587,600000,4.0,-78.522575,35.913113,RECENTLY_SOLD,6549100,3.0,2454.0,acres
22,SINGLE_FAMILY,0.25,27603,500000,4.0,-78.66954,35.741707,RECENTLY_SOLD,6555094,3.0,2037.0,acres
23,SINGLE_FAMILY,0.54,27617,1319000,6.0,-78.801315,35.91583,RECENTLY_SOLD,67554648,7.0,6481.0,acres
24,TOWNHOUSE,3920.4,27617,490000,4.0,-78.73599,35.91646,RECENTLY_SOLD,67557232,3.0,2043.0,sqft
25,SINGLE_FAMILY,5662.8,27616,380000,4.0,-78.50725,35.89262,RECENTLY_SOLD,67558120,3.0,1998.0,sqft
26,SINGLE_FAMILY,0.7,27592,380000,3.0,-78.68457,35.591465,RECENTLY_SOLD,68317447,3.0,1689.0,acres
27,APARTMENT,3920.0,27526,1795,2.0,-78.797195,35.576813,RECENTLY_SOLD,69567152,1.5,1149.0,sqft
28,SINGLE_FAMILY,0.49,27540,437000,3.0,-78.822014,35.64515,RECENTLY_SOLD,71842673,3.0,1961.0,acres
29,TOWNHOUSE,1742.4,27519,500000,3.0,-78.903465,35.81805,RECENTLY_SOLD,79883528,4.0,1895.0,sqft
30,SINGLE_FAMILY,0.28,27539,750000,4.0,-78.75921,35.65545,RECENTLY_SOLD,81435502,4.0,3130.0,acres
