,Street Address,City,Longitude,Latitude
0,110 Columbus Drive,Aberdeen,-79.42,35.16
1,750 W Williams St,Apex,-78.86,35.74
2,940 US Hwy 64,Apex,-78.82,35.74
3,1201 Beaver Creek Commons Dr,Apex,-78.87,35.74
4,15 McKenna Rd,Arden,-82.53,35.46
5,301 Long Shoals Rd,Arden,-82.55,35.48
6,115 River Hills Rd,Asheville,-82.52,35.58
7,29 Tunnel Rd,Asheville,-82.54,35.6
8,"26 Carl Alwin Place, 10",Asheville,-82.55,35.48
9,1141 Tunnel Rd,Asheville,-82.49,35.59
10,1865 Hendersonville Rd,Asheville,-82.52,35.5
11,"40 All Souls Crescent Street, Biltmore Village Center",Asheville,-82.54,35.57
12,1378 Hendersonville Road,Asheville,-82.53,35.52
13,915 Merrimon Ave,Asheville,-82.55,35.63
14,575 New Leicester Hwy,Asheville,-82.63,35.61
15,3 S Tunnel Road,Asheville,-82.53,35.58
16,863 BREVARD RD.,ASHEVILLE,-82.61,35.53
17,62 Charlotte Street,Asheville,-82.55,35.6
18,"800 Brevard Road, N109",Asheville,-82.6,35.53
19,550 HIGHWAY 9,Black Mountain,-82.32,35.61
20,240 Shadowline Dr,Boone,-81.66,36.2
21,710 N Broad St,Brevard,-82.73,35.24
22,113 Main St,Buies Creek,-78.74,35.41
23,2727 S Church St,Burlington,-79.48,36.08
24,"1475 University Dr, Colonial Mall",Burlington,-79.52,36.07
25,"451 Huffman Mill Road, University Commons",Burlington,-79.49,36.08
26,"1447 ""A"" University Drive",Burlington,-79.52,36.07
27,400 E US Highway 19 E Byp,Burnsville,-82.29,35.91
28,1231 Birch St,Camp Lejenue,-77.34,34.67
29,1572 Sand Hill Rd,Candler,-82.66,35.55
30,630 Champion Dr,Canton,-82.84,35.54
31,3430 Ten Ten Rd,Cary,-78.79,35.7
32,"1107 Walnut Street, Suite 102, Kildaire Plaza",Cary,-78.76,35.77
33,"1217 Kildaire Farm Road, The Arboretum",Cary,-78.78,35.76
34,125 Weston Parkway,Cary,-78.77,35.83
35,2080 Kildaire Farm Rd,Cary,-78.78,35.74
36,7145 O'Kelly Chapel Rd,Cary,-78.89,35.84
37,1150 Green Level to Durham Rd,Cary,-78.9,35.82
38,1151 TRYON VILLAGE DRIVE,Cary,-78.74,35.75
39,1015 Parkside Main St,Cary,-78.89,35.85
40,"885 Walnut St, Tryon Village",Cary,-78.77,35.77
41,"8204 Tryon Woods Dr, Suite 120, Northwoods Center",Cary,-78.74,35.75
42,1904 Northwest Maynard Road,Cary,-78.8,35.8
43,"7129 O'Kelly Chapel Road, High House Shops",Cary,-78.89,35.85
44,2840 NC Highway 55,Cary,-78.87,35.79
45,98 Cornerstone Dr,Cary,-78.85,35.79
46,"204 Crossroads Blvd, Suite 200",Cary,-78.74,35.76
47,270 GRANDE HEIGHTS DR.,CARY,-78.78,35.81
48,230 US 64 E,Cashiers,-83.1,35.11
49,101 Manning Dr,Chapel Hill,-79.05,35.9
50,"104 Ridge Rd, Eastgate Shopping Center",Chapel Hill,-79.04,35.91
51,"1800 E Franklin Street, Suite B",Chapel Hill,-79.03,35.94
52,88 Chatham Downs,Chapel Hill,-79.09,35.83
53,2110  S Estes Dr,Chapel Hill,-79.03,35.93
54,116 W. Barbee Chapel Rd,Chapel Hill,-79.01,35.91
55,103 East Franklin Street,Chapel Hill,-79.06,35.91
56,101 S. Tryon Street,Charlotte,-80.84,35.23
57,"9201 University City Blvd, Piper Glen",Charlotte,-80.73,35.3
58,6432 Rea Road,Charlotte,-80.82,35.08
59,"4425 Park Road, 100",Charlotte,-80.85,35.17
60,5501 Josh Birmingham Pkwy,Charlotte,-80.93,35.22
61,"3540 Mount Holly-Huntersville Rd, Stonecrest",Charlotte,-80.95,35.32
62,7922 Rea Road,Charlotte,-80.81,35.06
63,7860 Rea Rd,Charlotte,-80.81,35.06
64,5434 New Fashion Way,Charlotte,-80.97,35.17
65,10616 Providence Road,Charlotte,-80.77,35.07
66,9531 South Blvd,Charlotte,-80.88,35.11
67,5810 Highland Shoppes Dr,Charlotte,-80.8,35.34
68,1704 Central Ave,Charlotte,-80.81,35.22
69,"7819 Forest Pine Drive, Southpark Mall",Charlotte,-80.9,35.14
70,"4400 Sharon Rd., Ste. G31B, Charlotte/Douglas Int'l Airport",Charlotte,-80.83,35.15
71,5501 Josh Birmingham Parkway,Charlotte,-80.94,35.22
72,9841 Northlake Ctr Pkwy,Charlotte,-80.86,35.35
73,8951-A SOUTH TRYON STREET,Charlotte,-80.94,35.14
74,"5501 R C Josh Birmingham Pkwy, The Arbors",Charlotte,-80.94,35.23
75,"2121 East Arbors Drive, Suite 110",Charlotte,-80.76,35.34
76,"4450 Randolph Rd. Ste 100, Duke Energy Center",Charlotte,-80.8,35.18
77,"135 Levine Avenue of the Arts, Suite 140",Charlotte,-80.85,35.22
78,"5361 Ballantyne Commons Pkwy, 100",Charlotte,-80.77,35.06
79,5501 Josh Birmingham Pkwy,Charlotte,-80.95,35.22
80,1961 East 7th Street,Charlotte,-80.82,35.21
81,545 Providence Rd.,Charlotte,-80.82,35.2
82,1401 East Boulevard,Charlotte,-80.84,35.2
83,13000 S Tryon St,Charlotte,-80.99,35.1
84,"5501 R C Josh Birmingham Pkwy., Host Marriott/Starbucks Coffee",Charlotte,-80.95,35.23
85,5501 Josh Birmingham Parkway,Charlotte,-80.94,35.22
86,15007 John J. Delaney Dr.,Charlotte,-80.85,35.05
87,4821 Berewick Town Center Dr.,Charlotte,-80.97,35.16
88,"4100 Carmel Road, Suite L",Charlotte,-80.82,35.12
89,9870 Rea Rd,Charlotte,-80.81,35.04
90,201 South College Street,Charlotte,-80.84,35.23
91,900 Metropolitan Ave,Charlotte,-80.83,35.22
92,16625 Lancaster Hwy,Charlotte,-80.85,35.02
93,12830 Walker Branch Dr,Charlotte,-80.99,35.1
94,"9335 North Tryon Street, 104, Northlake Mall",Charlotte,-80.74,35.31
95,"6801 Northlake Mall Dr., #238",Charlotte,-80.86,35.35
96,14523 CAROWINDS BLVD,CHARLOTTE,-80.94,35.1
97,5501 Josh Birmingham Pkwy,Charlotte,-80.94,35.22
98,"101 N Tryon St, Charlotte/Douglas Int'l Airport",Charlotte,-80.84,35.23
99,"5502 Josh Birmingham Parkway, Gateway Village",Charlotte,-80.94,35.22
100,"800 W Trade St, Ste 140",Charlotte,-80.85,35.23
101,"3333 Pineville Matthews Rd, Morehead Medical Plaza",Charlotte,-80.78,35.1
102,1025 Morehead Medical Drive,Charlotte,-80.84,35.21
103,"13129 S. Tryon St., Suite 100",Charlotte,-80.99,35.1
104,"1015 Providence Rd, Host Marriott/Starbucks Coffee",Charlotte,-80.83,35.2
105,"5501 Josh Birmingham Parkway, Blakeney",Charlotte,-80.94,35.22
106,9820-A Rea Road,Charlotte,-80.81,35.03
107,"1525 W WT Harris Blvd, South Park Mall",Charlotte,-80.77,35.32
108,"4400 Sharron Road, C7B",Charlotte,-80.83,35.15
109,"8514 University Center Blvd, Davis Lake Commons",Charlotte,-80.74,35.3
110,8439 Davis Lake Parkway,Charlotte,-80.81,35.33
111,"6701 Morrison Blvd., Park Place Shopping Center",Charlotte,-80.83,35.15
112,9015 Pineville-Matthews Road,Charlotte,-80.87,35.09
113,"5501 Josh Birmingham Parkway, Shops of Ballantyne",Charlotte,-80.94,35.22
114,13855 Conlan Circle,Charlotte,-80.85,35.06
115,"501 S College St, Grand Plaza",Charlotte,-80.85,35.22
116,"13024 US Highway 70W, Suite 103",Clayton,-78.5,35.67
117,"67 Flowers Crossroads Wy, Walgreens Development",Clayton,-78.38,35.65
118,2785 Lewisville-Clemmons Rd,Clemmons,-80.38,36.02
119,"7741 Gateway Lane NW, Suite 130",Concord,-80.71,35.37
120,9900-Suite 124 Poplar Tent Rd,Concord,-80.74,35.42
121,6065 Bayfield Pkwy,Concord,-80.68,35.42
122,"1490 US Highway 29, Concord Mills",Concord,-80.61,35.44
123,"8111 Concord Mills Blvd, 342",Concord,-80.72,35.37
124,6150 Bayfield Pkwy,Concord,-80.7,35.43
