,lotAreaValue,address,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,CONDO,LOT,SINGLE_FAMILY,TOWNHOUSE,price
89,0.179981634527089,27613,3.0,-78.75085,35.925007,6515009,2.5,2007.0,0,0,1,0,490000
773,0.26,27613,3.0,-78.740234,35.92454,6540974,3.0,1991.0,0,0,1,0,460000
165,0.92,27613,4.0,-78.69982,35.925026,80208142,6.0,4978.0,0,0,1,0,1275000
195,1.7699954086318,27587,3.0,-78.40052,35.93462,336860835,3.0,2108.0,0,1,0,0,781000
881,3.95,27539,5.0,-78.817566,35.69839,6536910,5.0,4437.0,0,0,1,0,980000
267,0.1399999999999999,27616,3.0,-78.56781,35.855083,50111098,3.0,1408.0,0,0,1,0,320000
414,0.48,27518,5.0,-78.79894,35.71192,53460679,5.0,4606.0,0,0,1,0,1720000
397,0.21,27526,4.0,-78.77619,35.63135,215484934,3.0,3026.0,0,0,1,0,695500
723,0.18,27587,5.0,-78.51681,35.957382,248753189,5.0,3208.0,0,0,1,0,635000
399,0.1699999999999999,27562,4.0,-78.94372,35.6909,248750556,4.0,3564.0,0,0,1,0,660000
920,1.43,27529,3.0,-78.56694,35.664803,53460737,2.0,2346.0,0,0,1,0,395000
725,0.69,27540,4.0,-78.86159,35.572075,305116516,4.0,3110.0,0,0,1,0,695000
890,1.65,27526,4.0,-78.776436,35.553944,70487429,4.0,3293.0,0,0,1,0,700000
650,0.55,27607,5.0,-78.67266,35.813557,6404741,5.0,4551.0,0,0,1,0,1700000
80,0.28,27529,3.0,-78.60123,35.68022,6475560,3.0,1578.0,0,0,1,0,349000
571,0.13,27587,4.0,-78.51207,35.956295,215492914,4.0,2885.0,0,0,1,0,570000
10,2.6,27587,3.0,-78.47181,35.883595,6469073,3.0,2108.0,0,1,0,0,50000
692,0.21,27540,4.0,-78.876595,35.6346,94723418,3.0,3041.0,0,0,1,0,540000
868,0.24,27540,3.0,-78.86994,35.63214,65329182,3.0,2715.0,0,0,1,0,435000
711,0.0,27606,3.0,-78.73137,35.748116,215486016,3.0,2039.0,0,0,0,1,395000
262,37.95,27587,3.0,-78.49854,36.002277,50097992,3.0,2108.0,0,1,0,0,9203161
467,0.29,27571,5.0,-78.474525,35.936413,120560818,4.0,2968.0,0,0,1,0,695000
899,0.0,27615,2.0,-78.678665,35.89242,132194617,3.0,1167.0,0,0,0,1,300000
699,0.0,27617,3.0,-78.79734,35.898945,132151769,3.0,1972.0,1,0,0,0,385000
982,0.57,27571,5.0,-78.45934,35.9099,248756599,4.0,3658.0,0,0,1,0,645000
864,0.16,27513,2.0,-78.82739,35.7663,6508752,2.0,1226.0,0,0,1,0,385000
476,0.60998622589532,27603,3.0,-78.646484,35.74629,133703478,1.5,1158.0,0,0,1,0,1730000
946,1.04,27591,3.0,-78.41625,35.775005,6471575,3.0,2108.0,0,1,0,0,525000
518,1.11,27613,4.0,-78.70804,35.92042,6476608,3.0,3236.0,0,0,1,0,835711
300,0.34,27519,4.0,-78.85445,35.795376,6559847,3.0,3009.0,0,0,1,0,811000
527,1.16,27526,3.0,-78.7889,35.629604,6499178,3.0,2106.0,0,0,1,0,425000
921,0.69,27606,4.0,-78.72148,35.745724,53461466,3.0,2656.0,0,0,1,0,755000
131,0.9,27592,4.0,-78.6591,35.581657,50115861,4.0,4174.0,0,0,1,0,614000
478,5.16,27529,3.0,-78.592705,35.659073,215487353,3.0,2108.0,0,1,0,0,600000
111,0.42,27571,5.0,-78.45542,35.92825,80198178,4.0,3615.0,0,0,1,0,655000
86,0.1699954086317722,27616,3.0,-78.566315,35.852386,6509663,2.0,1764.0,0,0,1,0,290000
717,0.0,27617,2.0,-78.79531,35.899715,336868062,2.0,1734.0,1,0,0,0,490000
33,0.7,27526,4.0,-78.79772,35.623127,68320142,3.0,2719.0,0,0,1,0,721517
206,0.41,27529,2.0,-78.622856,35.71999,6387470,1.0,1200.0,0,0,1,0,170000
554,0.2,27529,4.0,-78.5923,35.670536,69566579,3.0,3514.0,0,0,1,0,435000
242,0.19,27545,5.0,-78.50553,35.757027,133703605,3.0,2837.0,0,0,1,0,450000
336,0.02,27613,3.0,-78.71314,35.87782,60395969,3.0,1387.0,0,0,0,1,345000
705,0.04,27587,3.0,-78.48974,35.9787,133705556,3.0,1634.0,0,0,0,1,391288
125,0.13,27604,3.0,-78.54264,35.807205,50103151,3.0,1641.0,0,0,1,0,380000
142,0.39,27616,4.0,-78.56616,35.839344,60536955,3.0,1728.0,0,0,1,0,350500
400,0.30998622589532,27523,3.0,-78.9298,35.76918,248751257,3.0,2108.0,0,1,0,0,1091000
235,0.1699999999999999,27617,3.0,-78.73074,35.90688,6557646,3.0,1740.0,0,0,1,0,501000
664,0.06,27615,2.0,-78.64771,35.872932,6489983,2.0,1153.0,0,0,0,1,305000
284,0.05,27511,2.0,-78.78442,35.758038,6466218,2.0,1119.0,0,0,0,1,330000
870,0.13,27540,3.0,-78.83129,35.66558,65341839,3.0,1764.0,0,0,1,0,410000
592,0.49,27609,4.0,-78.62581,35.82118,6376000,3.0,2460.0,0,0,1,0,881000
674,0.88,27526,3.0,-78.8305,35.604584,65338867,3.0,2217.0,0,0,1,0,599900
55,0.25,27540,3.0,-78.88155,35.65032,248756222,3.0,2108.0,0,1,0,0,607000
271,0.25,27610,6.0,-78.62491,35.743874,50122273,3.0,3191.0,0,0,1,0,500000
611,0.13,27616,4.0,-78.51711,35.86713,114314886,3.0,2440.0,0,0,1,0,440000
680,0.35,27587,3.0,-78.465294,35.951565,6538907,3.0,1526.0,0,0,1,0,390000
321,0.09,27511,3.0,-78.75395,35.767643,248754678,3.0,2838.0,0,0,0,1,680000
841,0.0699999999999999,27502,4.0,-78.92345,35.727276,305122766,4.0,2506.0,0,0,0,1,550000
404,0.06,27603,3.0,-78.69352,35.663166,305127808,3.0,1889.0,0,0,0,1,379500
448,0.35,27540,3.0,-78.870224,35.634377,65329480,3.0,1677.0,0,0,1,0,430000
800,0.05,27614,3.0,-78.57762,35.922657,69565702,3.0,2108.0,0,0,0,1,395000
441,0.15,27613,3.0,-78.68292,35.907253,6495465,3.0,2100.0,0,0,1,0,600000
255,0.36,27526,5.0,-78.77866,35.629856,248751046,3.0,2919.0,0,0,1,0,650000
475,2.8199954086318,27616,3.0,-78.58661,35.8692,133218022,0.0,1056.0,0,1,0,0,1350000
70,0.5,27519,4.0,-78.88032,35.796604,50121801,4.0,3674.0,0,0,1,0,1040000
85,0.06,27587,3.0,-78.52498,35.990883,6505497,3.0,1340.0,0,0,0,1,300750
503,0.129981634527089,27526,3.0,-78.8086,35.58932,331658209,2.5,1979.0,0,0,1,0,2000
4,0.29,27607,3.0,-78.68756,35.825516,6439560,2.0,1635.0,0,0,1,0,560000
358,0.7,27613,3.0,-78.68426,35.891624,6450753,2.0,3113.0,0,0,1,0,532000
368,0.28,27518,3.0,-78.793365,35.708748,6544391,3.0,2350.0,0,0,1,0,550000
652,0.45,27615,4.0,-78.61613,35.874184,6417512,5.0,5975.0,0,0,1,0,2737500
209,0.21,27610,2.0,-78.61032,35.790524,6412926,1.0,937.0,0,0,1,0,300000
738,0.12,27601,3.0,-78.63027,35.78334,6401045,3.0,2456.0,0,0,1,0,1160000
519,0.06,27615,2.0,-78.63754,35.892475,6485894,3.0,1647.0,0,0,0,1,351500
761,0.74,27615,4.0,-78.60064,35.865604,6416622,2.0,3449.0,0,0,1,0,380000
357,0.49,27591,3.0,-78.43815,35.82943,6447749,2.0,1295.0,0,0,1,0,335000
278,0.08,27613,3.0,-78.7083,35.88279,60534729,3.0,2689.0,0,0,0,1,612000
602,0.49,27540,3.0,-78.822014,35.64515,71842673,3.0,1961.0,0,0,1,0,437000
166,0.2089990817263544,27526,3.0,-78.80536,35.57163,81436653,2.5,1826.0,0,0,1,0,382500
453,0.16,27519,4.0,-78.85182,35.772327,6541584,3.0,2826.0,0,0,1,0,639000
328,0.05,27560,3.0,-78.83095,35.831924,336867584,2.5,1835.0,0,0,0,1,449500
874,0.27,27540,5.0,-78.82751,35.646095,6548627,3.0,2108.0,0,0,1,0,445000
254,0.073,27539,3.0,-78.80745,35.6704,248750765,3.0,1950.0,0,0,0,1,448500
525,2.37,27612,4.0,-78.72647,35.856934,6455224,5.0,2739.0,0,0,1,0,920000
549,0.31,27587,4.0,-78.49409,35.957222,67553637,4.0,3480.0,0,0,1,0,830000
375,0.03,27616,2.0,-78.59121,35.867085,88943688,3.0,1292.0,0,0,0,1,290000
520,0.25998622589532,27511,3.0,-78.78723,35.785007,6418834,3.0,2671.0,0,0,1,0,871800
310,0.1,27519,3.0,-78.91045,35.831074,119341926,3.0,2403.0,0,0,0,1,630000
756,0.31,27606,5.0,-78.71032,35.770966,65335232,3.0,2880.0,0,0,1,0,685000
387,0.15,27603,4.0,-78.69711,35.65858,133702835,3.0,2390.0,0,0,1,0,530000
281,0.3,27511,3.0,-78.769104,35.78001,6461058,2.0,1490.0,0,0,1,0,577000
18,0.35,27518,5.0,-78.75913,35.72214,6525233,5.0,3761.0,0,0,1,0,744000
17,0.03,27513,2.0,-78.80413,35.775932,6501360,3.0,1073.0,0,0,0,1,258500
511,0.15,27604,2.0,-78.6263,35.796707,6378236,1.0,827.0,0,0,1,0,385000
299,0.18,27604,4.0,-78.549965,35.812523,6537265,3.0,2312.0,0,0,1,0,425000
610,0.12,27587,3.0,-78.49348,35.96533,114204799,3.0,1967.0,0,0,0,1,430000
578,0.08,27526,3.0,-78.78711,35.580933,305116238,3.0,2101.0,0,0,0,1,410000
754,0.7,27526,3.0,-78.73934,35.630238,6531678,3.0,2014.0,0,0,1,0,525000
429,0.1,27606,3.0,-78.74139,35.77413,6446491,2.0,1300.0,0,0,0,1,257000
311,3.26,27539,5.0,-78.71521,35.688026,122066937,6.0,4801.0,0,0,1,0,1100000
487,0.0,27513,2.0,-78.78544,35.812057,132150616,1.0,966.0,1,0,0,0,249000
23,0.28,27519,4.0,-78.887,35.796173,65339329,4.0,3722.0,0,0,1,0,925000
210,1.3,27529,3.0,-78.57956,35.73617,6414181,3.0,2108.0,0,1,0,0,75000
505,0.1399999999999999,27591,2.0,-78.423935,35.757576,336867168,2.0,1835.0,0,0,1,0,537802
216,0.46,27529,3.0,-78.62334,35.716698,6463820,3.0,2108.0,0,1,0,0,177000
718,0.34,27529,4.0,-78.61647,35.653008,50120821,3.0,3115.0,0,0,1,0,500000
691,0.21,27587,4.0,-78.5035,35.956623,89501055,3.0,2881.0,0,0,1,0,610000
447,3.11,27613,3.0,-78.69504,35.986225,6530510,3.0,1682.0,0,0,1,0,540000
188,0.11,27502,3.0,-78.92262,35.703983,248749225,3.0,2244.0,0,0,1,0,575000
632,0.8,27603,4.0,-78.69663,35.643284,132346825,4.0,3540.0,0,0,1,0,830000
997,0.55,27587,3.0,-78.540474,36.004005,50119795,3.0,1940.0,0,0,1,0,482500
293,0.29,27615,4.0,-78.57608,35.898853,6513704,3.0,2146.0,0,0,1,0,450000
147,0.46,27609,4.0,-78.62263,35.856987,6419381,4.0,3052.0,0,0,1,0,925000
192,0.05,27526,3.0,-78.80712,35.569454,331656889,3.0,2108.0,0,1,0,0,352500
830,0.05,27616,3.0,-78.52685,35.849674,336867720,3.0,1629.0,0,0,0,1,391900
95,0.28,27616,3.0,-78.5178,35.884212,6532931,3.0,1608.0,0,0,1,0,370000
784,0.0699999999999999,27519,3.0,-78.91285,35.825336,89496462,3.0,2050.0,0,0,0,1,484500
986,0.25,27502,4.0,-78.91004,35.730774,50103431,3.0,2073.0,0,0,1,0,560000
106,0.05,27613,3.0,-78.73442,35.888424,67558847,3.0,1754.0,0,0,0,1,425300
771,0.29,27540,2.0,-78.872086,35.632465,65335678,3.0,1626.0,0,0,1,0,400000
28,0.35998622589532,27540,3.0,-78.81802,35.649967,6559253,3.0,1981.0,0,0,1,0,500000
398,0.72998163452709,27529,3.0,-78.642296,35.69186,248741516,3.0,2108.0,0,1,0,0,250000
653,0.35,27511,4.0,-78.80602,35.765884,6436391,2.0,2008.0,0,0,1,0,410000
7,0.25,27606,4.0,-78.693085,35.772472,6463492,4.0,1815.0,0,0,1,0,481000
84,0.13,27616,3.0,-78.55844,35.886684,6504060,2.0,1160.0,0,0,1,0,250000
785,0.0699999999999999,27539,4.0,-78.82576,35.687008,89498351,4.0,2153.0,0,0,0,1,401000
823,0.06,27529,3.0,-78.61199,35.689693,215486421,3.0,2101.0,0,0,0,1,375000
923,0.6,27604,5.0,-78.549355,35.813736,60398020,3.0,2449.0,0,0,1,0,475000
212,147.26,27587,3.0,-78.49403,36.00179,6431615,3.0,2108.0,0,1,0,0,32740000
116,0.27998163452709,27545,4.0,-78.462326,35.745316,98376957,3.0,3082.0,0,0,1,0,504500
586,0.18,27615,3.0,-78.6085,35.868313,50099898,3.0,2065.0,0,0,1,0,455000
587,0.36,27529,3.0,-78.6179,35.651985,50120835,3.0,2848.0,0,0,1,0,465000
770,0.24,27545,3.0,-78.45313,35.768948,65333853,2.0,1406.0,0,0,1,0,360000
269,0.34,27587,3.0,-78.46717,35.95531,50116299,2.0,1354.0,0,0,1,0,385000
559,0.13,27540,4.0,-78.81704,35.613434,80205750,3.0,2601.0,0,0,1,0,425000
528,1.08,27591,3.0,-78.40834,35.75031,6500023,2.0,2675.0,0,0,1,0,535000
40,0.19,27526,4.0,-78.812775,35.628143,122282988,3.0,2276.0,0,0,1,0,425000
544,0.47,27518,3.0,-78.78176,35.714638,6549573,2.0,1915.0,0,0,1,0,558000
991,0.57,27587,5.0,-78.54073,36.008755,50114073,3.0,3348.0,0,0,1,0,775000
877,0.15,27502,3.0,-78.86233,35.724262,6565616,2.0,1150.0,0,0,1,0,380000
862,0.79,27603,3.0,-78.61957,35.616493,6504692,2.0,1366.0,0,0,1,0,350000
155,1.6699954086318,27603,3.0,-78.697525,35.68828,6455866,3.0,2910.0,0,0,1,0,1200000
158,0.0699999999999999,27608,2.0,-78.65777,35.81068,6470279,2.0,1426.0,0,0,0,1,550000
134,0.92,27614,4.0,-78.68302,35.977757,50122261,3.0,2807.0,0,0,1,0,635000
417,0.3,27607,3.0,-78.68236,35.808178,6378091,2.0,1403.0,0,0,1,0,678500
433,0.1399908172635445,27529,6.0,-78.62232,35.68514,6462515,4.0,2400.0,0,0,0,0,345000
755,0.22,27616,4.0,-78.570564,35.85568,65332468,3.0,1800.0,0,0,1,0,385000
776,0.04,27519,2.0,-78.91229,35.82379,68320764,3.0,1756.0,0,0,0,1,415500
0,0.51,27610,3.0,-78.542496,35.75892,6402949,2.0,1515.0,0,0,1,0,251000
228,0.21,27513,3.0,-78.83431,35.785473,6521446,3.0,2058.0,0,0,1,0,630000
29,0.0600091827364554,27604,3.0,-78.54351,35.810715,6560200,3.0,1358.0,0,0,1,0,260000
856,0.1699999999999999,27613,3.0,-78.7078,35.87587,6472820,2.0,1466.0,0,0,1,0,400000
20,0.15,27616,3.0,-78.56817,35.83437,6531572,2.0,1321.0,0,0,1,0,310000
546,0.19,27587,2.0,-78.504,35.97777,6555602,2.0,892.0,0,0,1,0,287700
200,0.15,27616,3.0,-78.546776,35.887524,60538281,3.0,2294.0,0,0,1,0,441000
582,1.7,27615,4.0,-78.67739,35.921043,336860821,7.0,4897.0,0,0,1,0,1862658
227,2.074,27526,3.0,-78.76922,35.572098,6518331,3.0,3008.0,0,0,1,0,725000
221,0.03,27604,2.0,-78.58176,35.840878,6490029,3.0,1263.0,0,0,0,1,265000
625,0.0,27603,1.0,-78.64522,35.785202,132221325,1.0,734.0,1,0,0,0,300000
884,0.91999540863177,27591,1.0,-78.41725,35.7732,6544519,1.0,786.0,0,0,1,0,80000
958,0.43,27612,4.0,-78.73824,35.87301,6527423,3.0,3029.0,0,0,1,0,740000
647,0.7,27529,3.0,-78.623566,35.725372,6394553,2.0,1206.0,0,0,1,0,335000
53,0.12,27605,3.0,-78.64923,35.789135,215486375,5.0,1843.0,0,0,1,0,861100
312,0.28,27539,5.0,-78.72704,35.645264,122072493,4.0,3204.0,0,0,1,0,725000
893,0.633,27587,4.0,-78.54628,36.005875,94724850,5.0,4272.0,0,0,1,0,750000
356,0.87998163452709,27597,3.0,-78.29507,35.810383,6447043,3.0,2108.0,0,0,0,0,75000
