,Store Name,Street Address,City,Postcode,Longitude,Latitude
0,"Aberdeen, NC",110 Columbus Drive,Aberdeen,28315,-79.42,35.16
1,Harris Teeter-Apex #58,750 W Williams St,Apex,27502,-78.86,35.74
2,Kroger-Apex #357,940 US Hwy 64,Apex,27523,-78.82,35.74
3,Super Target Apex ST-1932,1201 Beaver Creek Commons Dr,Apex,27502,-78.87,35.74
4,Target Asheville T-2011,15 McKenna Rd,Arden,28704,-82.53,35.46
5,Ingles-Arden #130,301 Long Shoals Rd,Arden,28704,-82.55,35.48
6,Target Asheville T-1807,115 River Hills Rd,Asheville,28805,-82.52,35.58
7,Ingles-Asheville #7,29 Tunnel Rd,Asheville,28805,-82.54,35.6
8,Long Shoals Rd & I-26,"26 Carl Alwin Place, 10",Asheville,28803,-82.55,35.48
9,Ingles-Asheville #4,1141 Tunnel Rd,Asheville,28805,-82.49,35.59
10,Ingles-Asheville #30,1865 Hendersonville Rd,Asheville,28803,-82.52,35.5
11,Biltmore Village,"40 All Souls Crescent Street, Biltmore Village Center",Asheville,28803,-82.54,35.57
12,Parkway Centre,1378 Hendersonville Road,Asheville,28803,-82.53,35.52
13,Ingles-Asheville#3,915 Merrimon Ave,Asheville,28804,-82.55,35.63
14,Ingles-Asheville #62,575 New Leicester Hwy,Asheville,28806,-82.63,35.61
15,Asheville Mall,3 S Tunnel Road,Asheville,28805,-82.53,35.58
16,Ingles Asheville 24,863 BREVARD RD.,ASHEVILLE,28806,-82.61,35.53
17,Charlotte St.,62 Charlotte Street,Asheville,28801,-82.55,35.6
18,Asheville Outlets,"800 Brevard Road, N109",Asheville,28806,-82.6,35.53
19,Ingles-Black Mountain #8,550 HIGHWAY 9,Black Mountain,28711,-82.32,35.61
20,Harris Teeter-Boone #165,240 Shadowline Dr,Boone,28607,-81.66,36.2
21,Ingles-Brevard #67,710 N Broad St,Brevard,28712,-82.73,35.24
22,Campbell University - Wiggins Hall,113 Main St,Buies Creek,27506,-78.74,35.41
23,Harris Teeter-Burlington # 345,2727 S Church St,Burlington,27215,-79.48,36.08
24,Target Burlington T-2037,"1475 University Dr, Colonial Mall",Burlington,27215,-79.52,36.07
25,Burlington Mall,"451 Huffman Mill Road, University Commons",Burlington,27215,-79.49,36.08
26,University Commons,"1447 ""A"" University Drive",Burlington,27215,-79.52,36.07
27,Ingles-East Burnsville #13,400 E US Highway 19 E Byp,Burnsville,28714,-82.29,35.91
28,Camp Lejeune - Main Exchange,1231 Birch St,Camp Lejenue,28547,-77.34,34.67
29,Ingles Candler # 134,1572 Sand Hill Rd,Candler,28715,-82.66,35.55
30,Ingles-Canton #55,630 Champion Dr,Canton,28716,-82.84,35.54
31,Harris Teeter Cary 331,3430 Ten Ten Rd,Cary,27518,-78.79,35.7
32,Cary Towne Center,"1107 Walnut Street, Suite 102, Kildaire Plaza",Cary,27511,-78.76,35.77
33,Cary Central,"1217 Kildaire Farm Road, The Arboretum",Cary,27511,-78.78,35.76
34,Weston Parkway,125 Weston Parkway,Cary,27513,-78.77,35.83
35,Harris Teeter Cary #257,2080 Kildaire Farm Rd,Cary,27518,-78.78,35.74
36,Harris Teeter - Cary # 236,7145 O'Kelly Chapel Rd,Cary,27519,-78.89,35.84
37,Harris Teeter-Cary #298,1150 Green Level to Durham Rd,Cary,27519,-78.9,35.82
38,Harris Teeter-Cary # 330,1151 TRYON VILLAGE DRIVE,Cary,27518,-78.74,35.75
39,Parkside Towne Center,1015 Parkside Main St,Cary,27519,-78.89,35.85
40,Harris Teeter - Cary #430,"885 Walnut St, Tryon Village",Cary,27511,-78.77,35.77
41,Tryon Village,"8204 Tryon Woods Dr, Suite 120, Northwoods Center",Cary,27518,-78.74,35.75
42,Evans Road,1904 Northwest Maynard Road,Cary,27513,-78.8,35.8
43,Target Cary T-2784,"7129 O'Kelly Chapel Road, High House Shops",Cary,27519,-78.89,35.85
44,High House Road,2840 NC Highway 55,Cary,27519,-78.87,35.79
45,Harris Teeter-Cary #138,98 Cornerstone Dr,Cary,27519,-78.85,35.79
