,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea
0,SINGLE_FAMILY,0.51,27610,251000,3.0,-78.542496,35.75892,6402949,2.0,1515.0
1,SINGLE_FAMILY,0.62,27604,265000,3.0,-78.56691,35.82752,6416297,2.0,1251.0
2,SINGLE_FAMILY,0.19,27608,1352000,4.0,-78.63476,35.804733,6421830,4.0,3169.0
3,SINGLE_FAMILY,0.35998622589532,27511,510000,3.0,-78.77723,35.78286,6428563,1.0,1216.0
4,SINGLE_FAMILY,0.29,27607,560000,3.0,-78.68756,35.825516,6439560,2.0,1635.0
5,SINGLE_FAMILY,0.46,27529,356500,3.0,-78.611176,35.729122,6456549,2.0,1165.0
6,SINGLE_FAMILY,5.65,27597,575000,3.0,-78.34696,35.824886,6461171,3.0,2340.0
7,SINGLE_FAMILY,0.25,27606,481000,4.0,-78.693085,35.772472,6463492,4.0,1815.0
8,SINGLE_FAMILY,0.67998163452709,27545,39500,,-78.46159,35.75946,6464755,2.0,1382.0
9,SINGLE_FAMILY,0.38999081726354,27511,2150,3.0,-78.82478,35.757927,6465064,2.0,1732.0
10,LOT,2.6,27587,50000,,-78.47181,35.883595,6469073,,
11,SINGLE_FAMILY,0.16999999999999998,27613,407500,3.0,-78.70865,35.8781,6472796,3.0,1398.0
12,SINGLE_FAMILY,0.36,27513,440000,3.0,-78.779274,35.80858,6472961,2.0,2071.0
13,SINGLE_FAMILY,0.26,27613,470000,3.0,-78.71689,35.880104,6493294,3.0,1810.0
14,SINGLE_FAMILY,0.15,27513,480000,3.0,-78.77595,35.799,6495141,3.0,1867.0
15,SINGLE_FAMILY,0.86,27592,350000,3.0,-78.674225,35.58899,6496386,2.0,1409.0
16,TOWNHOUSE,0.03,27613,321000,2.0,-78.71209,35.865623,6501003,3.0,1339.0
17,TOWNHOUSE,0.03,27513,258500,2.0,-78.80413,35.775932,6501360,3.0,1073.0
18,SINGLE_FAMILY,0.35,27518,744000,5.0,-78.75913,35.72214,6525233,5.0,3761.0
19,SINGLE_FAMILY,0.13999999999999999,27615,430000,3.0,-78.594826,35.882042,6529329,3.0,2030.0
20,SINGLE_FAMILY,0.15,27616,310000,3.0,-78.56817,35.83437,6531572,2.0,1321.0
21,SINGLE_FAMILY,0.18,27603,450000,4.0,-78.68925,35.74892,6531822,3.0,2126.0
22,SINGLE_FAMILY,0.08,27604,750000,3.0,-78.637024,35.79521,65332012,3.0,1653.0
23,SINGLE_FAMILY,0.28,27519,925000,4.0,-78.887,35.796173,65339329,4.0,3722.0
24,SINGLE_FAMILY,0.34,27540,665000,4.0,-78.81316,35.657055,65343156,3.0,2770.0
25,SINGLE_FAMILY,0.24,27519,512000,3.0,-78.876144,35.78308,6545364,3.0,1567.0
