,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,SB_ID
0,SINGLE_FAMILY,0.51,27610,251000,3,-78.542496,35.75892,6402949,2,1515,1
1,SINGLE_FAMILY,0.62,27604,265000,3,-78.56691,35.82752,6416297,2,1251,2
2,SINGLE_FAMILY,0.19,27608,1352000,4,-78.63476,35.804733,6421830,4,3169,3
3,SINGLE_FAMILY,0.359986226,27511,510000,3,-78.77723,35.78286,6428563,1,1216,31
4,SINGLE_FAMILY,0.29,27607,560000,3,-78.68756,35.825516,6439560,2,1635,32
5,SINGLE_FAMILY,0.46,27529,356500,3,-78.611176,35.729122,6456549,2,1165,33
6,SINGLE_FAMILY,5.65,27597,575000,3,-78.34696,35.824886,6461171,3,2340,34
7,SINGLE_FAMILY,0.25,27606,481000,4,-78.693085,35.772472,6463492,4,1815,35
8,SINGLE_FAMILY,0.679981635,27545,39500,,-78.46159,35.75946,6464755,2,1382,36
9,SINGLE_FAMILY,0.389990817,27511,2150,3,-78.82478,35.757927,6465064,2,1732,37
10,LOT,2.6,27587,50000,,-78.47181,35.883595,6469073,,,38
11,SINGLE_FAMILY,0.17,27613,407500,3,-78.70865,35.8781,6472796,3,1398,39
12,SINGLE_FAMILY,0.36,27513,440000,3,-78.779274,35.80858,6472961,2,2071,40
13,SINGLE_FAMILY,0.26,27613,470000,3,-78.71689,35.880104,6493294,3,1810,41
14,SINGLE_FAMILY,0.15,27513,480000,3,-78.77595,35.799,6495141,3,1867,42
15,SINGLE_FAMILY,0.86,27592,350000,3,-78.674225,35.58899,6496386,2,1409,43
16,TOWNHOUSE,0.03,27613,321000,2,-78.71209,35.865623,6501003,3,1339,44
17,TOWNHOUSE,0.03,27513,258500,2,-78.80413,35.775932,6501360,3,1073,45
18,SINGLE_FAMILY,0.35,27518,744000,5,-78.75913,35.72214,6525233,5,3761,46
19,SINGLE_FAMILY,0.14,27615,430000,3,-78.594826,35.882042,6529329,3,2030,47
20,SINGLE_FAMILY,0.15,27616,310000,3,-78.56817,35.83437,6531572,2,1321,162
21,SINGLE_FAMILY,0.18,27603,450000,4,-78.68925,35.74892,6531822,3,2126,163
22,SINGLE_FAMILY,0.08,27604,750000,3,-78.637024,35.79521,65332012,3,1653,164
23,SINGLE_FAMILY,0.28,27519,925000,4,-78.887,35.796173,65339329,4,3722,165
24,SINGLE_FAMILY,0.34,27540,665000,4,-78.81316,35.657055,65343156,3,2770,212
25,SINGLE_FAMILY,0.24,27519,512000,3,-78.876144,35.78308,6545364,3,1567,213
26,SINGLE_FAMILY,0.35,27540,420000,4,-78.863304,35.63307,6545941,3,1850,214
27,SINGLE_FAMILY,0.27,27617,445000,3,-78.73339,35.902935,6558693,3,1675,231
28,SINGLE_FAMILY,0.359986226,27540,500000,3,-78.81802,35.649967,6559253,3,1981,232
29,SINGLE_FAMILY,0.060009183,27604,260000,3,-78.54351,35.810715,6560200,3,1358,252
30,TOWNHOUSE,0.02,27502,325000,3,-78.87553,35.742355,68317982,3,1452,253
31,SINGLE_FAMILY,0.69,27526,701000,3,-78.83332,35.60652,68319292,3,2637,254
32,TOWNHOUSE,0.03,27617,320000,2,-78.76899,35.91498,68319712,3,1420,255
33,SINGLE_FAMILY,0.7,27526,721517,4,-78.79772,35.623127,68320142,3,2719,256
34,TOWNHOUSE,0.04,27539,431000,3,-78.79782,35.681225,68320957,3,2318,257
35,SINGLE_FAMILY,0.97,27587,950000,4,-78.558395,36.00829,68971872,5,3928,258
36,SINGLE_FAMILY,0.64,27603,951000,4,-78.69845,35.64019,71661631,4,4322,270
37,TOWNHOUSE,0.04,27610,290000,3,-78.545135,35.796658,71844288,3,1513,271
38,SINGLE_FAMILY,8.25,27540,174000,,-78.85417,35.56534,71855757,,,272
39,LOT,0.939990817,27540,174500,,-78.85417,35.56534,71884595,,,273
0,SINGLE_FAMILY,0.19,27526,425000,4,-78.812775,35.628143,122282988,3,2276,274
1,SINGLE_FAMILY,0.19,27597,877500,4,-78.324905,35.84622,125244931,3,2708,275
2,SINGLE_FAMILY,0.15,27610,2325,4,-78.59418,35.74222,125250200,2.5,2035,276
3,SINGLE_FAMILY,0.15,27591,485000,3,-78.42179,35.768063,125275819,3,2469,277
4,CONDO,0,27612,247000,3,-78.686325,35.838703,132193912,2,1537,278
5,TOWNHOUSE,0.03,27612,390000,2,-78.72511,35.867523,133201002,3,1395,279
6,LOT,1.259986226,27610,2260000,,-78.57987,35.796795,133216932,,,280
7,SINGLE_FAMILY,0.16,27591,715069,3,,,2062488350,3,2788,281
8,SINGLE_FAMILY,0.16,27606,743600,4,,,2064262088,4,2590,282
9,SINGLE_FAMILY,0.147,27610,511855,2,,,2064340178,3,2086,283
10,CONDO,0,27606,230000,2,,,2065064079,3,1105,284
11,SINGLE_FAMILY,0.17,27526,551132,4,,,2065512131,4,2514,285
12,CONDO,0.03,27612,260000,3,,,2067994688,2,1441,286
13,SINGLE_FAMILY,0.12,27605,861100,3,-78.64923,35.789135,215486375,5,1843,287
14,SINGLE_FAMILY,0.45,27526,502000,4,-78.82003,35.588165,215487715,3,1877,288
15,LOT,0.25,27540,607000,,-78.88155,35.65032,248756222,,,289
16,SINGLE_FAMILY,1.22,27540,761000,4,-78.861404,35.57248,305116508,4,3110,290
17,SINGLE_FAMILY,0.41,27513,965500,5,-78.77345,35.79444,305116813,4,3069,291
18,SINGLE_FAMILY,0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041,292
19,TOWNHOUSE,0.14,27502,531000,3,-78.9438,35.739784,305127325,3,2276,293
20,LOT,0.159986226,27610,436500,,-78.54324,35.702404,336867283,,,294
21,SINGLE_FAMILY,0.259,27526,462557,5,-78.824036,35.571915,336868441,3,2396,295
22,LOT,0.169995409,27606,744000,,-78.71698,35.77994,336868527,,,296
23,SINGLE_FAMILY,0.144,27591,537081,2,-78.42377,35.757607,336868871,2,2037,305
24,LOT,1.619995409,27592,640000,,-78.69024,35.539482,336869648,,,306
25,SINGLE_FAMILY,0.16,27539,425000,4,-78.82793,35.68371,50109619,3,1840,1
26,SINGLE_FAMILY,0.47,27529,360000,3,-78.60725,35.620716,50119555,2,1659,2
27,SINGLE_FAMILY,0.5,27587,755000,4,-78.540695,36.00368,50119796,4,3586,3
28,SINGLE_FAMILY,0.28,27502,540000,4,-78.898445,35.72082,50119998,3,1889,31
29,TOWNHOUSE,0.05,27613,377500,3,-78.73523,35.90036,50120511,3,1824,32
30,SINGLE_FAMILY,0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674,33
31,TOWNHOUSE,0.04,27615,315500,2,-78.59154,35.889416,53456696,2,1197,34
32,SINGLE_FAMILY,0.3,27540,355000,3,-78.821304,35.6325,60393302,2,1265,35
33,SINGLE_FAMILY,0.2,27616,380000,3,-78.511055,35.88066,60398593,3,1416,36
34,SINGLE_FAMILY,0.43,27540,800000,4,-78.816734,35.661472,60531261,4,3472,37
35,SINGLE_FAMILY,0.19,27610,337000,4,-78.563095,35.72948,60536740,3,1542,38
36,TOWNHOUSE,0.02,27610,220500,3,-78.5613,35.750515,60537531,3,1189,39
37,SINGLE_FAMILY,1.1,27526,280000,2,-78.80665,35.56236,6376519,2,1264,40
38,SINGLE_FAMILY,0.62,27608,905000,4,-78.62957,35.80903,6391940,3,2656,41
39,LOT,11.5,27545,600000,,-78.47939,35.81749,6401776,,,42
0,SINGLE_FAMILY,0.28,27529,349000,3,-78.60123,35.68022,6475560,3,1578,43
1,SINGLE_FAMILY,1.29,27539,425000,3,-78.74156,35.662148,6486866,3,1900,44
2,SINGLE_FAMILY,1.179981635,27501,215000,3,-78.75012,35.53342,6494620,2.5,1560,45
3,SINGLE_FAMILY,0.119995409,27610,180000,3,-78.58727,35.76983,6503026,2.5,1480,46
4,SINGLE_FAMILY,0.13,27616,250000,3,-78.55844,35.886684,6504060,2,1160,47
5,TOWNHOUSE,0.06,27587,300750,3,-78.52498,35.990883,6505497,3,1340,162
6,SINGLE_FAMILY,0.169995409,27616,290000,,-78.566315,35.852386,6509663,2,1764,163
7,SINGLE_FAMILY,0.56,27587,686000,3,-78.551704,35.970146,6510268,3,2702,164
8,SINGLE_FAMILY,0.19,27513,485000,3,-78.78972,35.816204,6513803,3,1629,165
9,SINGLE_FAMILY,0.179981635,27613,490000,3,-78.75085,35.925007,6515009,2.5,2007,212
10,SINGLE_FAMILY,0.97,27540,750000,3,-78.8065,35.642895,6519731,4,3658,213
11,SINGLE_FAMILY,0.28,27518,800000,4,-78.77807,35.714195,6524508,3,3407,214
12,SINGLE_FAMILY,0.24,27518,565000,3,-78.78939,35.70926,6524764,3,2278,231
13,SINGLE_FAMILY,0.16,27545,331000,3,-78.46354,35.76561,6525475,2,1229,232
14,SINGLE_FAMILY,0.3,27513,915000,4,-78.84515,35.803642,6532172,4,3406,252
15,SINGLE_FAMILY,0.28,27616,370000,3,-78.5178,35.884212,6532931,3,1608,253
16,SINGLE_FAMILY,0.32,27502,885000,5,-78.85763,35.744976,65330818,3,4745,254
17,SINGLE_FAMILY,0.23,27616,530000,4,-78.514275,35.877674,65333739,3,2714,255
18,SINGLE_FAMILY,0.37,27587,555555,4,-78.517265,35.97368,65334388,3,2456,256
19,TOWNHOUSE,0.05,27502,365000,3,-78.8753,35.727566,65339237,3,1476,257
20,TOWNHOUSE,0.02,27613,320000,3,-78.735435,35.885033,65339727,3,1412,258
21,SINGLE_FAMILY,0.279981635,27613,900000,,-78.73173,35.899887,6546411,2.5,2678,270
22,SINGLE_FAMILY,0.17,27545,321000,3,-78.47148,35.76552,6557526,2,1240,271
23,TOWNHOUSE,0.03,27545,295500,3,-78.51511,35.77635,67554664,3,1413,272
24,SINGLE_FAMILY,0.2,27502,600000,3,-78.86865,35.726326,67556863,3,2106,273
25,SINGLE_FAMILY,0.72,27526,470000,3,-78.75087,35.56442,67558681,3,2409,274
26,TOWNHOUSE,0.05,27613,425300,3,-78.73442,35.888424,67558847,3,1754,275
27,SINGLE_FAMILY,0.89,27603,900000,4,-78.70759,35.66597,68317586,4,4025,276
28,SINGLE_FAMILY,0.9,27603,675000,3,-78.67908,35.617996,69564748,3,3196,277
29,TOWNHOUSE,0.05,27616,315000,3,-78.55099,35.89921,69566683,3,1510,278
30,SINGLE_FAMILY,0.18,27610,361000,3,-78.58612,35.738937,71205682,3,1627,279
31,SINGLE_FAMILY,0.42,27571,655000,5,-78.45542,35.92825,80198178,4,3615,280
32,SINGLE_FAMILY,0.16,27614,475000,4,-78.556145,35.966125,81436757,3,2538,281
33,SINGLE_FAMILY,0.19,27587,485000,4,-78.47414,35.963066,82672052,3,2659,282
34,TOWNHOUSE,0.03,27603,325000,2,-78.659645,35.732666,82675612,3,1295,283
35,SINGLE_FAMILY,0.16,27526,383000,3,-78.76697,35.612476,89495175,3,1589,284
36,SINGLE_FAMILY,0.279981635,27545,504500,4,-78.462326,35.745316,98376957,3,3082,285
37,SINGLE_FAMILY,0.73,27529,435500,3,-78.58959,35.611523,111377267,2,2194,286
38,SINGLE_FAMILY,0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391,287
39,SINGLE_FAMILY,0.21,27526,650000,5,-78.81901,35.595177,122279447,4,3377,288
0,LOT,0.6,27592,493500,,-78.70403,35.55616,336868134,,,289
1,SINGLE_FAMILY,0.13,27591,473801,2,-78.42296,35.75889,336869151,2,1888,290
2,LOT,0.289990817,27523,853500,,-78.93208,35.781693,336869460,,,291
3,SINGLE_FAMILY,1.17,27587,640000,4,-78.52806,35.993706,50102541,4,3007,292
4,SINGLE_FAMILY,0.34,27604,1082500,3,-78.54321,35.80759,50103150,3,1375,293
5,SINGLE_FAMILY,0.13,27604,380000,3,-78.54264,35.807205,50103151,3,1641,294
6,SINGLE_FAMILY,0.1,27604,310500,2,-78.57105,35.803055,50106732,2,912,295
7,SINGLE_FAMILY,0.18,27502,415000,3,-78.90995,35.72179,50110256,2,1825,296
8,SINGLE_FAMILY,0.2,27614,539900,3,-78.588905,35.91295,50111644,3,2274,305
