,lotAreaValue,bedrooms,longitude,latitude,bathrooms,livingArea,CONDO,LOT,SINGLE_FAMILY,TOWNHOUSE,price,27501.0,27502.0,27511.0,27513.0,27518.0,27519.0,27520.0,27523.0,27526.0,27529.0,27539.0,27540.0,27545.0,27560.0,27562.0,27571.0,27587.0,27591.0,27592.0,27596.0,27597.0,27601.0,27603.0,27604.0,27605.0,27606.0,27607.0,27608.0,27609.0,27610.0,27612.0,27613.0,27614.0,27615.0,27616.0,27617.0
0,0.179981634527089,3.0,-78.75085,35.925007,2.5,2007.0,0,0,1,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.26,3.0,-78.740234,35.92454,3.0,1991.0,0,0,1,0,460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.92,4.0,-78.69982,35.925026,6.0,4978.0,0,0,1,0,1275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1.7699954086318,3.0,-78.40052,35.93462,3.0,2108.0,0,1,0,0,781000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.95,5.0,-78.817566,35.69839,5.0,4437.0,0,0,1,0,980000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1399999999999999,3.0,-78.56781,35.855083,3.0,1408.0,0,0,1,0,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0.48,5.0,-78.79894,35.71192,5.0,4606.0,0,0,1,0,1720000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.21,4.0,-78.77619,35.63135,3.0,3026.0,0,0,1,0,695500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.18,5.0,-78.51681,35.957382,5.0,3208.0,0,0,1,0,635000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.1699999999999999,4.0,-78.94372,35.6909,4.0,3564.0,0,0,1,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.43,3.0,-78.56694,35.664803,2.0,2346.0,0,0,1,0,395000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.69,4.0,-78.86159,35.572075,4.0,3110.0,0,0,1,0,695000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.65,4.0,-78.776436,35.553944,4.0,3293.0,0,0,1,0,700000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.55,5.0,-78.67266,35.813557,5.0,4551.0,0,0,1,0,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,0.28,3.0,-78.60123,35.68022,3.0,1578.0,0,0,1,0,349000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.13,4.0,-78.51207,35.956295,4.0,2885.0,0,0,1,0,570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.6,3.0,-78.47181,35.883595,3.0,2108.0,0,1,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.21,4.0,-78.876595,35.6346,3.0,3041.0,0,0,1,0,540000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.24,3.0,-78.86994,35.63214,3.0,2715.0,0,0,1,0,435000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0,3.0,-78.73137,35.748116,3.0,2039.0,0,0,0,1,395000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,37.95,3.0,-78.49854,36.002277,3.0,2108.0,0,1,0,0,9203161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.29,5.0,-78.474525,35.936413,4.0,2968.0,0,0,1,0,695000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0,2.0,-78.678665,35.89242,3.0,1167.0,0,0,0,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,0.0,3.0,-78.79734,35.898945,3.0,1972.0,1,0,0,0,385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0.57,5.0,-78.45934,35.9099,4.0,3658.0,0,0,1,0,645000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.16,2.0,-78.82739,35.7663,2.0,1226.0,0,0,1,0,385000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.60998622589532,3.0,-78.646484,35.74629,1.5,1158.0,0,0,1,0,1730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.04,3.0,-78.41625,35.775005,3.0,2108.0,0,1,0,0,525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.11,4.0,-78.70804,35.92042,3.0,3236.0,0,0,1,0,835711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,0.34,4.0,-78.85445,35.795376,3.0,3009.0,0,0,1,0,811000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.16,3.0,-78.7889,35.629604,3.0,2106.0,0,0,1,0,425000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.69,4.0,-78.72148,35.745724,3.0,2656.0,0,0,1,0,755000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,0.9,4.0,-78.6591,35.581657,4.0,4174.0,0,0,1,0,614000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5.16,3.0,-78.592705,35.659073,3.0,2108.0,0,1,0,0,600000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.42,5.0,-78.45542,35.92825,4.0,3615.0,0,0,1,0,655000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.1699954086317722,3.0,-78.566315,35.852386,2.0,1764.0,0,0,1,0,290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,0.0,2.0,-78.79531,35.899715,2.0,1734.0,1,0,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0.7,4.0,-78.79772,35.623127,3.0,2719.0,0,0,1,0,721517,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.41,2.0,-78.622856,35.71999,1.0,1200.0,0,0,1,0,170000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.2,4.0,-78.5923,35.670536,3.0,3514.0,0,0,1,0,435000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.19,5.0,-78.50553,35.757027,3.0,2837.0,0,0,1,0,450000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.02,3.0,-78.71314,35.87782,3.0,1387.0,0,0,0,1,345000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,0.04,3.0,-78.48974,35.9787,3.0,1634.0,0,0,0,1,391288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.13,3.0,-78.54264,35.807205,3.0,1641.0,0,0,1,0,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0.39,4.0,-78.56616,35.839344,3.0,1728.0,0,0,1,0,350500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,0.30998622589532,3.0,-78.9298,35.76918,3.0,2108.0,0,1,0,0,1091000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.1699999999999999,3.0,-78.73074,35.90688,3.0,1740.0,0,0,1,0,501000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0.06,2.0,-78.64771,35.872932,2.0,1153.0,0,0,0,1,305000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0.05,2.0,-78.78442,35.758038,2.0,1119.0,0,0,0,1,330000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.13,3.0,-78.83129,35.66558,3.0,1764.0,0,0,1,0,410000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.49,4.0,-78.62581,35.82118,3.0,2460.0,0,0,1,0,881000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,0.88,3.0,-78.8305,35.604584,3.0,2217.0,0,0,1,0,599900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.25,3.0,-78.88155,35.65032,3.0,2108.0,0,1,0,0,607000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.25,6.0,-78.62491,35.743874,3.0,3191.0,0,0,1,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,0.13,4.0,-78.51711,35.86713,3.0,2440.0,0,0,1,0,440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,0.35,3.0,-78.465294,35.951565,3.0,1526.0,0,0,1,0,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.09,3.0,-78.75395,35.767643,3.0,2838.0,0,0,0,1,680000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.0699999999999999,4.0,-78.92345,35.727276,4.0,2506.0,0,0,0,1,550000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
