Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,10387-100533,"Aberdeen, NC",Company Owned,110 Columbus Drive,Aberdeen,NC,US,283152387,910-692-2351,GMT-05:00 America/New_York,-79.42,35.16
Starbucks,72999-98079,Harris Teeter-Apex #58,Licensed,750 W Williams St,Apex,NC,US,275025100,919-362-3782,GMT-05:00 America/New_York,-78.86,35.74
Starbucks,72522-104988,Kroger-Apex #357,Licensed,940 US Hwy 64,Apex,NC,US,275237184,919-380-1422,GMT-05:00 America/New_York,-78.82,35.74
Starbucks,76255-94937,Super Target Apex ST-1932,Licensed,1201 Beaver Creek Commons Dr,Apex,NC,US,275023922,919-372-1405,GMT-05:00 America/New_York,-78.87,35.74
Starbucks,76409-95670,Target Asheville T-2011,Licensed,15 McKenna Rd,Arden,NC,US,287049201,828-681-0341,GMT-05:00 America/New_York,-82.53,35.46
Starbucks,72992-97702,Ingles-Arden #130,Licensed,301 Long Shoals Rd,Arden,NC,US,287047713,828-681-5173,GMT-05:00 America/New_York,-82.55,35.48
Starbucks,19919-202925,Target Asheville T-1807,Licensed,115 River Hills Rd,Asheville,NC,US,28805,828-298-1262,GMT-05:00 America/New_York,-82.52,35.58
Starbucks,73885-132946,Ingles-Asheville #7,Licensed,29 Tunnel Rd,Asheville,NC,US,288051229,828-255-8097,GMT-05:00 America/New_York,-82.54,35.6
Starbucks,22309-216224,Long Shoals Rd & I-26,Company Owned,"26 Carl Alwin Place, 10",Asheville,NC,US,28803,8284583700,GMT-05:00 America/New_York,-82.55,35.48
Starbucks,3921-145304,Ingles-Asheville #4,Licensed,1141 Tunnel Rd,Asheville,NC,US,288052037,8282981425,GMT-05:00 America/New_York,-82.49,35.59
Starbucks,72571-98062,Ingles-Asheville #30,Licensed,1865 Hendersonville Rd,Asheville,NC,US,288033217,8282740804,GMT-05:00 America/New_York,-82.52,35.5
Starbucks,8585-82303,Biltmore Village,Company Owned,"40 All Souls Crescent Street, Biltmore Village Center",Asheville,NC,US,288032670,828-277-3248,GMT-05:00 America/New_York,-82.54,35.57
Starbucks,2862-83232,Parkway Centre,Company Owned,1378 Hendersonville Road,Asheville,NC,US,288031957,828-274-0586,GMT-05:00 America/New_York,-82.53,35.52
Starbucks,79308-98053,Ingles-Asheville#3,Licensed,915 Merrimon Ave,Asheville,NC,US,288042304,828-253-1326,GMT-05:00 America/New_York,-82.55,35.63
Starbucks,3922-98060,Ingles-Asheville #62,Licensed,575 New Leicester Hwy,Asheville,NC,US,288062122,8282252756,GMT-05:00 America/New_York,-82.63,35.61
Starbucks,11420-105384,Asheville Mall,Company Owned,3 S Tunnel Road,Asheville,NC,US,288052238,828-298-7188,GMT-05:00 America/New_York,-82.53,35.58
Starbucks,49575-269344,Ingles Asheville 24,Licensed,863 BREVARD RD.,ASHEVILLE,NC,US,28806,8286650787,GMT-05:00 America/New_York,-82.61,35.53
Starbucks,8598-82600,Charlotte St.,Company Owned,62 Charlotte Street,Asheville,NC,US,288012434,828/225-3753,GMT-05:00 America/New_York,-82.55,35.6
Starbucks,27436-242685,Asheville Outlets,Company Owned,"800 Brevard Road, N109",Asheville,NC,US,28806,8284588181,GMT-05:00 America/New_York,-82.6,35.53
Starbucks,15941-145305,Ingles-Black Mountain #8,Licensed,550 HIGHWAY 9,Black Mountain,NC,US,28711,828-669-6700,GMT-05:00 America/New_York,-82.32,35.61
Starbucks,16318-156564,Harris Teeter-Boone #165,Licensed,240 Shadowline Dr,Boone,NC,US,286075088,828-262-3319,GMT-05:00 America/New_York,-81.66,36.2
Starbucks,79222-98063,Ingles-Brevard #67,Licensed,710 N Broad St,Brevard,NC,US,287123102,828-883-2377,GMT-05:00 America/New_York,-82.73,35.24
Starbucks,23944-230987,Campbell University - Wiggins Hall,Licensed,113 Main St,Buies Creek,NC,US,27506,910-814-5555,GMT-05:00 America/New_York,-78.74,35.41
Starbucks,79343-103391,Harris Teeter-Burlington # 345,Licensed,2727 S Church St,Burlington,NC,US,272155103,336-585-1444,GMT-05:00 America/New_York,-79.48,36.08
Starbucks,76466-96570,Target Burlington T-2037,Licensed,"1475 University Dr, Colonial Mall",Burlington,NC,US,272158768,336-524-9354,GMT-05:00 America/New_York,-79.52,36.07
Starbucks,9763-98360,Burlington Mall,Company Owned,"451 Huffman Mill Road, University Commons",Burlington,NC,US,272155118,336-538-6997,GMT-05:00 America/New_York,-79.49,36.08
Starbucks,9839-98359,University Commons,Company Owned,"1447 ""A"" University Drive",Burlington,NC,US,272158790,336 584-6795,GMT-05:00 America/New_York,-79.52,36.07
Starbucks,16319-165208,Ingles-East Burnsville #13,Licensed,400 E US Highway 19 E Byp,Burnsville,NC,US,287147165,818-682-6272,GMT-05:00 America/New_York,-82.29,35.91
Starbucks,23581-230990,Camp Lejeune - Main Exchange,Licensed,1231 Birch St,Camp Lejenue,NC,US,28547,,GMT-05:00 America/New_York,-77.34,34.67
Starbucks,28688-237571,Ingles Candler # 134,Licensed,1572 Sand Hill Rd,Candler,NC,US,28715,828-665-2861,GMT-05:00 America/New_York,-82.66,35.55
Starbucks,3944-147046,Ingles-Canton #55,Licensed,630 Champion Dr,Canton,NC,US,287163032,8286483200,GMT-05:00 America/New_York,-82.84,35.54
Starbucks,29953-255606,Harris Teeter Cary 331,Licensed,3430 Ten Ten Rd,Cary,NC,US,27518,9193878272,GMT-05:00 America/New_York,-78.79,35.7
Starbucks,9840-98530,Cary Towne Center,Company Owned,"1107 Walnut Street, Suite 102, Kildaire Plaza",Cary,NC,US,275114734,919 468-9908,GMT-05:00 America/New_York,-78.76,35.77
Starbucks,10967-103699,Cary Central,Company Owned,"1217 Kildaire Farm Road, The Arboretum",Cary,NC,US,275115523,919 465-1229,GMT-05:00 America/New_York,-78.78,35.76
